,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls.1,Ast.1,G+A,G-PK.1,G+A-PK,xG,npxG,xA,npxG+xA,xG.1,xA.1,xG+xA,npxG.1,npxG+xA.1,Matches
555,Ben Sweat,USA,DF,NYCFC,26,1991,28,24,2195,24.4,0,1,0,0,0,3,0,0.0,0.04,0.04,0.0,0.04,1.0,1.0,1.9,3.0,0.04,0.08,0.13,0.04,0.13,Matches
556,Saphir Taïder,ALG,MF,Montreal Impact,25,1992,33,33,2849,31.7,7,5,6,1,1,3,1,0.22,0.16,0.38,0.19,0.35,6.8,6.1,4.2,10.3,0.22,0.13,0.35,0.19,0.32,Matches
557,Mitchell Taintor,USA,DF,Toronto FC,23,1994,1,1,90,1.0,1,0,1,0,0,1,0,1.0,0.0,1.0,1.0,1.0,0.1,0.1,0.1,0.1,0.08,0.06,0.14,0.08,0.14,Matches
558,Ismael Tajouri-Shradi,LBY,FWMF,NYCFC,23,1994,27,18,1546,17.2,11,1,11,0,0,2,0,0.64,0.06,0.7,0.64,0.7,4.1,4.1,3.6,7.7,0.24,0.22,0.46,0.24,0.46,Matches
559,Andrew Tarbell,USA,GK,San Jose,24,1993,29,29,2610,29.0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.2,0.0,0.01,0.01,0.0,0.01,Matches
560,Amro Tarek,EGY,DF,Orlando City,25,1992,20,19,1696,18.8,1,0,1,0,0,2,0,0.05,0.0,0.05,0.05,0.05,1.4,1.4,0.2,1.6,0.08,0.01,0.08,0.08,0.08,Matches
561,Tony Tchani,CMR,MF,Chicago Fire,28,1989,13,9,826,9.2,1,0,1,0,0,1,0,0.11,0.0,0.11,0.11,0.11,0.3,0.3,0.3,0.6,0.03,0.03,0.07,0.03,0.07,Matches
562,Cristian Techera,URU,FWMF,Vancouver,25,1992,21,16,1344,14.9,8,1,7,1,1,7,1,0.54,0.07,0.6,0.47,0.54,6.6,5.8,2.6,8.4,0.44,0.17,0.61,0.39,0.56,Matches
563,Russell Teibert,CAN,MF,Vancouver,25,1992,23,17,1606,17.8,1,0,1,0,0,3,0,0.06,0.0,0.06,0.06,0.06,0.3,0.3,1.2,1.5,0.02,0.07,0.08,0.02,0.08,Matches
564,Ryan Telfer,TRI,DFFW,Toronto FC,23,1994,15,9,815,9.1,1,1,1,0,0,1,0,0.11,0.11,0.22,0.11,0.22,0.4,0.4,1.6,2.0,0.04,0.18,0.22,0.04,0.22,Matches
565,Jérôme Thiesson,SUI,DF,Minnesota Utd,30,1987,14,13,1106,12.3,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,1.1,1.2,0.01,0.09,0.1,0.01,0.1,Matches
566,Tommy Thompson,USA,MFFW,San Jose,22,1995,14,6,634,7.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.6,0.6,0.8,1.4,0.09,0.12,0.2,0.09,0.2,Matches
567,Chris Tierney,USA,DF,New England,32,1986,6,3,311,3.5,1,0,1,0,0,1,0,0.29,0.0,0.29,0.29,0.29,0.2,0.2,0.7,0.9,0.05,0.21,0.26,0.05,0.26,Matches
568,Anton Tinnerholm,SWE,DF,NYCFC,26,1991,31,31,2696,30.0,4,5,4,0,0,5,0,0.13,0.17,0.3,0.13,0.3,1.8,1.8,2.6,4.4,0.06,0.09,0.15,0.06,0.15,Matches
569,Donny Toia,USA,DF,Orlando City,25,1992,4,3,237,2.6,0,1,0,0,0,0,0,0.0,0.38,0.38,0.0,0.38,0.0,0.0,0.1,0.1,0.02,0.03,0.05,0.02,0.05,Matches
570,Nouhou Tolo,CMR,DF,Seattle,20,1997,28,23,2036,22.6,0,0,0,0,0,8,0,0.0,0.0,0.0,0.0,0.0,0.7,0.7,1.2,1.9,0.03,0.05,0.08,0.03,0.08,Matches
571,Román Torres,PAN,DF,Seattle,31,1986,13,7,692,7.7,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.1,1.1,0.13,0.01,0.14,0.13,0.14,Matches
572,Mason Toye,USA,FW,Minnesota Utd,19,1998,17,2,351,3.9,0,0,0,0,0,3,1,0.0,0.0,0.0,0.0,0.0,1.6,1.6,0.1,1.7,0.42,0.02,0.43,0.42,0.43,Matches
573,Wil Trapp,USA,MF,Columbus Crew,25,1993,30,29,2619,29.1,1,1,1,0,0,3,0,0.03,0.03,0.07,0.03,0.07,0.2,0.2,1.3,1.5,0.01,0.05,0.05,0.01,0.05,Matches
574,Auston Trusty,USA,DF,Philadelphia,19,1998,34,34,3060,34.0,1,0,1,0,0,4,0,0.03,0.0,0.03,0.03,0.03,0.6,0.6,0.2,0.8,0.02,0.01,0.02,0.02,0.02,Matches
575,Bill Tuiloma,NZL,DF,Portland Timbers,22,1995,13,7,717,8.0,1,0,1,0,0,0,0,0.13,0.0,0.13,0.13,0.13,0.4,0.4,0.1,0.4,0.05,0.01,0.06,0.05,0.06,Matches
576,Matt Turner,USA,GK,New England,23,1994,27,27,2430,27.0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
577,Ema Twumasi,GHA,FW,FC Dallas,20,1997,1,1,45,0.5,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.1,0.18,0.0,0.18,0.18,0.18,Matches
578,Victor Ulloa,USA,MF,FC Dallas,25,1992,27,25,2166,24.1,1,2,1,0,0,1,0,0.04,0.08,0.12,0.04,0.12,0.9,0.9,1.6,2.5,0.04,0.07,0.11,0.04,0.11,Matches
579,Marco Ureña,CRC,FW,Los Angeles FC,27,1990,18,11,1016,11.3,1,4,1,0,1,0,0,0.09,0.35,0.44,0.09,0.44,5.3,4.6,2.0,6.6,0.47,0.18,0.65,0.41,0.58,Matches
580,Maximiliano Urruti,ARG,FWMF,FC Dallas,26,1991,33,30,2733,30.4,8,7,8,0,0,3,0,0.26,0.23,0.49,0.26,0.49,10.6,10.6,4.1,14.7,0.36,0.14,0.5,0.36,0.5,Matches
581,Zarek Valentin,PUR,DF,Portland Timbers,26,1991,32,30,2723,30.3,0,0,0,0,0,4,0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,1.6,1.9,0.01,0.05,0.06,0.01,0.06,Matches
582,Milton Valenzuela,ARG,DF,Columbus Crew,19,1998,30,29,2553,28.4,1,3,1,0,0,6,0,0.04,0.11,0.14,0.04,0.14,1.1,1.1,4.2,5.3,0.04,0.15,0.19,0.04,0.19,Matches
583,Diego Valeri,ARG,MFFW,Portland Timbers,31,1986,32,31,2743,30.5,10,11,6,4,5,4,0,0.33,0.36,0.69,0.2,0.56,11.6,7.8,8.3,16.1,0.38,0.27,0.65,0.26,0.53,Matches
584,Florian Valot,FRA,FWMF,NY Red Bulls,24,1993,14,13,1144,12.7,3,4,3,0,0,1,0,0.24,0.31,0.55,0.24,0.55,3.3,3.3,2.0,5.3,0.26,0.16,0.42,0.26,0.42,Matches
585,Jeisson Vargas,CHI,FWMF,Montreal Impact,20,1997,19,10,871,9.7,4,0,4,0,0,1,0,0.41,0.0,0.41,0.41,0.41,2.1,2.1,0.6,2.7,0.22,0.06,0.28,0.22,0.28,Matches
586,Brandon Vazquez,USA,FW,Atlanta Utd,19,1998,8,0,93,1.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.7,1.7,0.1,1.8,1.62,0.08,1.69,1.62,1.69,Matches
587,Víctor Vázquez,ESP,MFFW,Toronto FC,31,1987,21,19,1430,15.9,8,4,6,2,2,0,0,0.5,0.25,0.76,0.38,0.63,4.6,3.1,3.6,6.7,0.29,0.23,0.52,0.19,0.42,Matches
588,Carlos Vela,MEX,FWMF,Los Angeles FC,28,1989,28,26,2378,26.4,14,9,10,4,4,1,0,0.53,0.34,0.87,0.38,0.72,10.7,7.7,9.0,16.7,0.42,0.35,0.78,0.3,0.66,Matches
589,David Villa,ESP,FW,NYCFC,36,1981,23,20,1748,19.4,14,5,12,2,3,4,0,0.72,0.26,0.98,0.62,0.88,11.1,9.6,5.7,15.3,0.6,0.31,0.91,0.52,0.83,Matches
590,Jorge Villafaña,USA,DF,Portland Timbers,28,1989,8,7,654,7.3,0,1,0,0,0,0,0,0.0,0.14,0.14,0.0,0.14,0.0,0.0,1.2,1.2,0.0,0.16,0.16,0.0,0.16,Matches
591,Héctor Villalba,PAR,FW,Atlanta Utd,23,1994,28,21,1773,19.7,7,6,7,0,0,4,0,0.36,0.3,0.66,0.36,0.66,7.0,7.0,5.8,12.9,0.36,0.3,0.65,0.36,0.65,Matches
592,Jose Villarreal,USA,MF,Orlando City,24,1993,3,0,48,0.5,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.4,0.4,0.0,0.4,Matches
593,Brandon Vincent,USA,DF,Chicago Fire,23,1994,32,31,2827,31.4,1,3,1,0,0,3,0,0.03,0.1,0.13,0.03,0.13,0.7,0.7,1.4,2.1,0.02,0.04,0.07,0.02,0.07,Matches
594,Sam Vines,USA,DF,Colorado Rapids,18,1999,1,0,45,0.5,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
595,Rodney Wallace,CRC,FW,NYCFC,29,1988,18,9,821,9.1,1,1,1,0,0,2,0,0.11,0.11,0.22,0.11,0.22,2.1,2.1,0.7,2.8,0.23,0.08,0.31,0.23,0.31,Matches
596,Collen Warner,USA,MF,Minnesota Utd,29,1988,17,14,1236,13.7,0,0,0,0,0,7,1,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.5,0.6,0.01,0.04,0.04,0.01,0.04,Matches
597,Kendall Waston,CRC,DF,Vancouver,30,1988,26,26,2217,24.6,3,2,3,0,0,6,1,0.12,0.08,0.2,0.12,0.2,3.2,3.2,1.4,4.6,0.13,0.05,0.19,0.13,0.19,Matches
598,Jared Watts,USA,DF,Houston Dynamo,25,1992,7,7,533,5.9,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.01,0.01,0.02,0.01,0.02,Matches
