,playerName,ballSkill,defence,mental,passing,physical,shooting,goalkeeper
5481,Costa Nhamoinesu,61.5,68.33333333333333,66.83333333333333,64.0,75.28571428571429,45.625,11.4
5482,Gianluca Sansone,76.0,27.333333333333332,53.333333333333336,60.0,73.85714285714286,72.375,9.2
5483,Andrea Rispoli,71.0,67.0,67.0,69.0,74.42857142857143,54.375,12.0
5484,Duje Čop,70.5,28.333333333333332,63.166666666666664,61.333333333333336,62.285714285714285,73.75,13.0
5487,Harrison Afful,70.5,67.66666666666667,71.83333333333333,70.0,76.0,59.625,10.0
5488,Mirko Boland,72.0,64.33333333333333,70.16666666666667,71.33333333333333,77.85714285714286,63.625,12.0
5489,Aridane,42.5,70.33333333333333,58.333333333333336,49.0,71.71428571428571,44.625,11.0
5490,Lorenzo Ariaudo,56.0,74.0,59.666666666666664,51.666666666666664,62.857142857142854,38.25,9.4
5491,Maximiliano Caire,67.0,70.0,64.0,60.666666666666664,79.42857142857143,47.375,9.6
5494,Fidel,74.5,25.0,61.833333333333336,65.0,74.57142857142857,63.75,11.8
5495,Aron Gunnarsson,69.0,68.0,69.66666666666667,67.66666666666667,71.85714285714286,61.125,10.4
5496,Marcelo Estigarribia,71.5,65.0,70.66666666666667,69.33333333333333,73.28571428571429,64.5,12.6
5497,Luca Siligardi,75.0,25.666666666666668,53.833333333333336,68.0,71.57142857142857,65.625,11.2
5498,Cristian Álvarez,17.5,14.0,30.166666666666668,18.333333333333332,53.714285714285715,14.375,71.8
5503,Masoud Shojaei,79.0,24.0,61.5,71.33333333333333,58.857142857142854,66.5,10.6
5504,Mustafa Pektemek,72.0,49.0,67.16666666666667,65.0,72.85714285714286,68.375,9.4
5505,Manuel Iori,67.0,59.666666666666664,68.83333333333333,71.33333333333333,66.14285714285714,66.125,9.2
5506,Thomas Kaminski,13.5,13.0,37.0,27.333333333333332,49.142857142857146,16.125,71.0
5507,Marvin Martin,71.5,44.333333333333336,70.0,71.0,59.285714285714285,65.125,12.4
5510,Roberto Gutiérrez,68.5,20.0,61.5,47.666666666666664,67.57142857142857,66.5,12.4
5511,Lex Immers,66.0,59.666666666666664,72.83333333333333,69.0,63.285714285714285,66.375,11.8
5512,Manu Barreiro,70.5,17.666666666666668,59.0,50.333333333333336,66.14285714285714,69.0,8.6
5513,Ronald Vargas,74.0,24.333333333333332,57.333333333333336,69.0,61.57142857142857,63.875,9.6
5514,Lukáš Mareček,70.5,69.66666666666667,69.83333333333333,71.33333333333333,71.42857142857143,61.75,10.2
5517,Edwin Hernández,70.5,70.33333333333333,62.833333333333336,68.33333333333333,74.28571428571429,58.625,9.8
5518,Sergey Pesyakov,15.5,13.0,42.166666666666664,34.666666666666664,48.0,15.875,72.2
5519,Jair Pereira,53.5,72.0,57.5,54.666666666666664,61.142857142857146,41.875,12.6
5520,Vladimir Granat,49.0,74.33333333333333,61.833333333333336,64.66666666666667,59.0,57.0,11.6
5521,Jiloan Hamad,71.5,41.666666666666664,66.16666666666667,68.0,77.57142857142857,60.375,10.4
5524,Oswaldo Alanís,61.5,74.66666666666667,61.333333333333336,65.33333333333333,58.857142857142854,59.0,11.0
5525,Niall McGinn,72.5,13.333333333333334,62.0,61.0,76.28571428571429,66.125,11.8
5526,Gojko Kačar,66.5,68.66666666666667,70.5,64.66666666666667,61.714285714285715,66.875,11.2
5527,Roger Espinoza,70.0,70.33333333333333,73.5,68.66666666666667,74.57142857142857,65.75,9.8
5528,Güray Vural,75.0,66.33333333333333,65.0,67.33333333333333,75.14285714285714,69.0,10.4
